iter	Passed	Remaining
471	683	764
472	684	762
473	685	760
474	686	759
475	687	757
476	689	755
477	690	753
478	691	751
479	692	749
480	693	747
481	694	746
482	695	744
483	696	742
484	697	740
485	698	739
486	700	737
487	701	735
488	702	734
489	703	732
490	704	730
491	705	728
492	707	727
493	708	725
494	709	723
495	710	722
496	711	720
497	712	718
498	713	716
499	715	715
500	716	713
501	717	711
502	718	709
503	719	707
504	720	706
505	721	704
506	722	702
507	723	700
508	724	699
509	725	697
510	726	695
511	728	694
512	729	692
513	730	690
514	731	688
515	732	687
516	733	685
517	734	683
518	735	681
519	736	680
520	737	678
521	739	676
522	740	675
523	741	673
524	742	671
525	743	670
526	744	668
527	745	666
528	746	665
529	747	663
530	748	661
531	750	659
532	751	658
533	752	656
534	753	654
535	754	653
536	755	651
537	757	650
538	758	648
539	759	646
540	760	644
541	761	643
542	762	641
543	763	639
544	764	638
545	765	636
546	766	634
547	767	633
548	768	631
549	770	630
550	771	628
551	772	626
552	773	625
553	774	623
554	775	621
555	776	620
556	777	618
557	778	616
558	779	615
559	780	613
560	781	611
561	782	610
562	784	608
563	785	607
564	786	605
565	787	603
566	788	602
567	789	600
568	790	599
569	791	597
570	792	595
571	794	594
572	795	592
573	796	590
574	797	589
575	799	588
576	800	586
577	801	585
578	802	583
579	803	581
580	804	580
581	805	578
582	806	577
583	807	575
584	809	573
585	810	572
586	811	570
587	812	569
588	813	567
589	814	566
590	815	564
591	816	562
592	817	561
593	818	559
594	820	558
595	821	556
596	822	555
597	823	553
598	824	551
599	825	550
600	826	548
601	827	547
602	829	545
603	830	544
604	831	542
605	832	541
606	833	539
607	834	537
608	835	536
609	836	534
610	837	533
611	838	531
612	839	530
613	840	528
614	841	526
615	842	525
616	844	523
617	845	522
618	846	520
619	847	519
620	848	517
621	849	516
622	851	514
623	852	513
624	853	511
625	854	510
626	855	508
627	856	507
628	857	505
629	858	504
630	859	502
631	860	501
632	861	499
633	863	498
634	864	496
635	865	495
636	866	493
637	867	492
638	868	490
639	869	489
640	870	487
641	871	485
642	872	484
643	873	483
644	874	481
645	876	480
646	877	478
647	878	477
648	879	475
649	880	474
650	881	472
651	882	471
652	883	469
653	884	468
654	885	466
655	886	465
656	887	463
657	889	462
658	890	460
659	891	459
660	892	457
661	893	456
662	894	454
663	895	453
664	896	451
665	897	450
666	898	448
667	899	447
668	900	445
669	901	444
670	903	442
671	904	441
672	905	439
673	906	438
674	907	437
675	908	435
676	909	434
677	911	432
678	912	431
679	913	429
680	914	428
681	915	426
682	916	425
683	917	423
684	918	422
685	919	420
686	920	419
687	921	418
688	922	416
689	924	415
690	925	413
691	926	412
692	927	410
693	928	409
694	929	408
695	930	406
696	931	405
697	933	403
698	934	402
699	935	400
700	936	399
701	937	398
702	938	396
703	939	395
704	940	393
705	941	392
706	942	390
707	943	389
708	944	387
709	945	386
710	946	384
711	948	383
712	949	382
713	950	380
714	951	379
715	952	377
716	953	376
717	954	374
718	955	373
719	956	372
720	957	370
721	958	369
722	960	367
723	961	366
724	962	364
725	963	363
726	964	362
727	965	360
728	966	359
729	967	357
730	968	356
731	969	355
732	970	353
733	972	352
734	973	350
735	974	349
736	975	348
737	976	346
738	977	345
739	978	343
740	979	342
741	980	341
742	982	339
743	983	338
744	984	336
745	985	335
746	986	334
747	987	332
748	988	331
749	989	329
750	990	328
751	991	327
752	992	325
753	994	324
754	995	322
755	996	321
756	997	320
757	998	318
758	999	317
759	1000	315
760	1001	314
761	1002	313
762	1003	311
763	1004	310
764	1005	308
765	1006	307
766	1008	306
767	1009	304
768	1010	303
769	1011	302
770	1012	300
771	1013	299
772	1014	297
773	1015	296
774	1016	295
775	1017	293
776	1018	292
777	1019	290
778	1020	289
779	1022	288
780	1023	286
781	1024	285
782	1025	284
783	1026	282
784	1027	281
785	1028	280
786	1029	278
787	1030	277
788	1031	275
789	1032	274
790	1033	273
791	1035	271
792	1036	270
793	1037	269
794	1038	267
795	1039	266
796	1041	265
797	1042	263
798	1043	262
799	1044	261
800	1045	259
801	1046	258
802	1047	257
803	1049	255
804	1050	254
805	1051	253
806	1052	251
807	1053	250
808	1055	249
809	1056	247
810	1057	246
811	1058	245
812	1059	243
813	1060	242
814	1061	240
815	1062	239
816	1063	238
817	1064	236
818	1065	235
819	1066	234
820	1068	232
821	1069	231
822	1070	230
823	1071	228
824	1072	227
825	1073	226
826	1074	224
827	1075	223
828	1076	222
829	1077	220
830	1078	219
831	1079	218
832	1081	216
833	1082	215
834	1083	214
835	1084	212
836	1085	211
837	1086	210
838	1087	208
839	1088	207
840	1089	206
841	1090	204
842	1091	203
843	1093	202
844	1094	200
845	1095	199
846	1096	198
847	1097	196
848	1098	195
849	1099	194
850	1100	192
851	1101	191
852	1102	190
853	1103	188
854	1104	187
855	1105	186
856	1107	184
857	1108	183
858	1109	182
859	1110	180
860	1111	179
861	1112	178
862	1113	176
863	1114	175
864	1115	174
865	1116	172
866	1117	171
867	1118	170
868	1120	168
869	1121	167
870	1122	166
871	1123	164
872	1124	163
873	1125	162
874	1126	160
875	1127	159
876	1128	158
877	1129	156
878	1130	155
879	1131	154
880	1132	153
881	1134	151
882	1135	150
883	1136	149
884	1137	147
885	1138	146
886	1139	145
887	1140	143
888	1141	142
889	1142	141
890	1144	139
891	1145	138
892	1146	137
893	1147	136
894	1148	134
895	1149	133
896	1150	132
897	1151	130
898	1152	129
899	1153	128
900	1154	126
901	1155	125
902	1157	124
903	1158	122
904	1159	121
905	1160	120
906	1161	119
907	1162	117
908	1163	116
909	1164	115
910	1166	113
911	1167	112
912	1168	111
913	1169	110
914	1170	108
915	1171	107
916	1172	106
917	1173	104
918	1174	103
919	1175	102
920	1176	100
921	1177	99
922	1179	98
923	1180	97
924	1181	95
925	1182	94
926	1183	93
927	1184	91
928	1185	90
929	1186	89
930	1187	88
931	1188	86
932	1189	85
933	1191	84
934	1191	82
935	1192	81
936	1193	80
937	1194	78
938	1196	77
939	1197	76
940	1198	75
941	1199	73
942	1200	72
943	1201	71
944	1202	70
945	1204	68
946	1205	67
947	1206	66
948	1207	64
949	1208	63
950	1209	62
951	1210	61
952	1211	59
953	1212	58
954	1213	57
955	1214	55
956	1215	54
957	1217	53
958	1218	52
959	1219	50
960	1220	49
961	1221	48
962	1222	46
963	1224	45
964	1225	44
965	1226	43
966	1227	41
967	1228	40
968	1229	39
969	1230	38
970	1231	36
971	1232	35
972	1233	34
973	1234	32
974	1235	31
975	1237	30
976	1238	29
977	1239	27
978	1240	26
979	1241	25
980	1242	24
981	1243	22
982	1244	21
983	1245	20
984	1246	18
985	1247	17
986	1248	16
987	1250	15
988	1251	13
989	1252	12
990	1253	11
991	1254	10
992	1255	8
993	1256	7
994	1257	6
995	1258	5
996	1259	3
997	1260	2
998	1262	1
999	1263	0
